State,Year,Quarter,District,Registered_users,App_opens
manipur,2018,1,Pherzawl,24,0
manipur,2018,1,Churachandpur,1524,0
manipur,2018,1,Tengnoupal,352,0
manipur,2018,1,Imphal West,11304,0
manipur,2018,2,Kangpokpi,2183,0
manipur,2018,2,Noney,351,0
manipur,2018,2,Imphal East,10390,0
manipur,2018,2,Thoubal,4771,0
manipur,2018,2,Kakching,1571,0
manipur,2018,2,Jiribam,732,0
manipur,2018,2,Ukhrul,905,0
manipur,2018,2,Tamenglong,824,0
manipur,2018,2,Kamjong,144,0
manipur,2018,2,Chandel,706,0
manipur,2018,2,Bishnupur,3751,0
manipur,2018,2,Senapati,155,0
manipur,2018,2,Pherzawl,38,0
manipur,2018,2,Churachandpur,2362,0
manipur,2018,2,Tengnoupal,631,0
manipur,2018,2,Imphal West,16541,0
manipur,2018,3,Kangpokpi,3073,0
manipur,2018,3,Noney,504,0
manipur,2018,3,Imphal East,13541,0
manipur,2018,3,Thoubal,6112,0
manipur,2018,3,Kakching,2326,0
manipur,2018,3,Jiribam,1086,0
manipur,2018,3,Ukhrul,1346,0
manipur,2018,3,Tamenglong,1268,0
manipur,2018,3,Kamjong,213,0
manipur,2018,3,Chandel,962,0
manipur,2018,3,Bishnupur,5106,0
manipur,2018,3,Senapati,229,0
manipur,2018,3,Pherzawl,51,0
manipur,2018,3,Churachandpur,3420,0
manipur,2018,3,Tengnoupal,1002,0
manipur,2018,3,Imphal West,21696,0
manipur,2018,4,Kangpokpi,4249,0
manipur,2018,4,Noney,716,0
manipur,2018,4,Imphal East,17777,0
manipur,2018,4,Thoubal,8027,0
manipur,2018,4,Kakching,3153,0
manipur,2018,4,Jiribam,1393,0
manipur,2018,4,Ukhrul,1842,0
manipur,2018,4,Tamenglong,1712,0
manipur,2018,4,Kamjong,290,0
manipur,2018,4,Chandel,1342,0
manipur,2018,4,Bishnupur,7049,0
manipur,2018,4,Senapati,337,0
manipur,2018,4,Pherzawl,68,0
manipur,2018,4,Churachandpur,4951,0
manipur,2018,4,Tengnoupal,1300,0
manipur,2018,4,Imphal West,28383,0
haryana,2022,1,Yamunanagar,342886,5261303
haryana,2022,1,Sonipat,626016,8614006
haryana,2022,1,Jind,362830,10010350
haryana,2022,1,Rohtak,432623,11550480
haryana,2022,1,Faridabad,1654074,12225903
haryana,2022,1,Mahendragarh,351808,9461334
haryana,2022,1,Hisar,689980,21824961
haryana,2022,1,Karnal,527415,8478743
haryana,2022,1,Fatehabad,283380,9129258
haryana,2022,1,Palwal,441872,7644104
haryana,2022,1,Charkhi Dadri,117471,3325337
haryana,2022,1,Ambala,401530,4395015
haryana,2022,1,Rewari,595001,7829983
haryana,2022,1,Panchkula,290799,3228748
haryana,2022,1,Bhiwani,400556,19969949
haryana,2022,1,Sirsa,411238,15813675
haryana,2022,1,Mewat,377036,8636382
haryana,2022,1,Panipat,556104,6462976
haryana,2022,1,Gurugram,2929873,21160321
haryana,2022,1,Kaithal,288578,8668955
haryana,2022,1,Kurukshetra,340030,4582898
haryana,2022,1,Jhajjar,445888,8953786
haryana,2022,2,Yamunanagar,361342,5857085
haryana,2022,2,Sonipat,661278,9608898
haryana,2022,2,Jind,383193,11763338
haryana,2022,2,Rohtak,456537,13062506
haryana,2022,2,Faridabad,1743764,11143884
haryana,2022,2,Mahendragarh,371882,10155289
haryana,2022,2,Hisar,727942,24324343
haryana,2022,2,Karnal,555939,10255701
haryana,2022,2,Fatehabad,299086,10991972
haryana,2022,2,Palwal,466861,7794734
haryana,2022,2,Charkhi Dadri,124320,3924588
haryana,2022,2,Ambala,423290,4495249
haryana,2022,2,Rewari,628614,7294508
haryana,2022,2,Panchkula,306460,3344274
haryana,2022,2,Bhiwani,423595,23796359
haryana,2022,2,Sirsa,434030,18578192
haryana,2022,2,Mewat,398639,8071396
haryana,2022,2,Panipat,587006,7013327
haryana,2022,2,Gurugram,3088176,19332862
haryana,2022,2,Kaithal,304645,10330268
haryana,2022,2,Kurukshetra,358109,4842331
haryana,2022,2,Jhajjar,471357,10110205
haryana,2022,3,Yamunanagar,380160,6222538
haryana,2022,3,Sonipat,697349,10573982
haryana,2022,3,Jind,403750,14994759
haryana,2022,3,Rohtak,481082,16106442
haryana,2022,3,Faridabad,1837594,11212188
haryana,2022,3,Mahendragarh,392798,11952432
haryana,2022,3,Hisar,766206,29010891
haryana,2022,3,Karnal,584928,11812886
haryana,2022,3,Fatehabad,314613,12979626
haryana,2022,3,Palwal,492837,7987566
haryana,2022,3,Charkhi Dadri,131203,4407641
haryana,2022,3,Ambala,445403,5010389
haryana,2022,3,Rewari,663418,7337609
haryana,2022,3,Panchkula,322320,3767440
haryana,2022,3,Bhiwani,446960,26192869
haryana,2022,3,Sirsa,456583,22326785
haryana,2022,3,Mewat,421283,9426354
haryana,2022,3,Panipat,618937,8459279
haryana,2022,3,Gurugram,3251792,18485432
haryana,2022,3,Kaithal,320757,11770745
haryana,2022,3,Kurukshetra,376380,5506672
haryana,2022,3,Jhajjar,497580,9930636
haryana,2022,4,Yamunanagar,397532,11485377
haryana,2022,4,Sonipat,731324,23782013
haryana,2022,4,Jind,422244,11891107
haryana,2022,4,Rohtak,504058,15615172
haryana,2022,4,Faridabad,1930743,67810059
haryana,2022,4,Mahendragarh,411550,17789576
haryana,2022,4,Hisar,801156,26868596
haryana,2022,4,Karnal,611868,19064390
haryana,2022,4,Fatehabad,328692,9778409
haryana,2022,4,Palwal,516553,24395266
haryana,2022,4,Charkhi Dadri,137231,4832466
haryana,2022,4,Ambala,465968,12496882
haryana,2022,4,Rewari,696113,30158839
haryana,2022,4,Panchkula,337614,8968601
haryana,2022,4,Bhiwani,467763,17438413
haryana,2022,4,Sirsa,476800,14033521
haryana,2022,4,Mewat,441859,24884026
haryana,2022,4,Panipat,649292,21978021
haryana,2022,4,Gurugram,3416098,153733247
haryana,2022,4,Kaithal,335364,8729986
haryana,2022,4,Kurukshetra,393430,11455603
haryana,2022,4,Jhajjar,521692,19709308
haryana,2024,1,Yamunanagar,481727,16474619
haryana,2024,1,Sonipat,892110,19153667
haryana,2024,1,Jind,515893,17766861
haryana,2024,1,Rohtak,612619,18232550
haryana,2024,1,Faridabad,2342026,12021069
haryana,2024,1,Mahendragarh,505857,9845270
haryana,2024,1,Hisar,981843,28909760
haryana,2024,1,Karnal,741880,20395870
haryana,2024,1,Fatehabad,401953,17156905
haryana,2024,1,Palwal,630556,11060445
haryana,2024,1,Charkhi Dadri,168657,2846519
haryana,2024,1,Ambala,564748,10570668
haryana,2024,1,Rewari,850468,7233620
haryana,2024,1,Panchkula,409382,5416099
haryana,2024,1,Bhiwani,575590,24555177
haryana,2024,1,Sirsa,582023,30454364
haryana,2024,1,Mewat,542539,19314495
haryana,2024,1,Panipat,791258,17789586
haryana,2024,1,Gurugram,4134124,23592547
haryana,2024,1,Kaithal,409446,19019535
haryana,2024,1,Kurukshetra,474951,13029640
haryana,2024,1,Jhajjar,638613,12013709
haryana,2024,2,Yamunanagar,499614,13727953
haryana,2024,2,Sonipat,925604,23515291
haryana,2024,2,Jind,535175,23278867
haryana,2024,2,Rohtak,635272,16978096
haryana,2024,2,Faridabad,2432061,15420554
haryana,2024,2,Mahendragarh,524735,11689795
haryana,2024,2,Hisar,1017200,30430385
haryana,2024,2,Karnal,769577,26046512
haryana,2024,2,Fatehabad,416593,32328776
haryana,2024,2,Palwal,654617,15015259
haryana,2024,2,Charkhi Dadri,175072,4666324
haryana,2024,2,Ambala,585520,17928279
haryana,2024,2,Rewari,882152,9457965
haryana,2024,2,Panchkula,424737,10354175
haryana,2024,2,Bhiwani,597498,30557862
haryana,2024,2,Sirsa,603253,46675960
haryana,2024,2,Mewat,563767,61806932
haryana,2024,2,Panipat,820766,20746416
haryana,2024,2,Gurugram,4289099,31587260
haryana,2024,2,Kaithal,424789,24657219
haryana,2024,2,Kurukshetra,492205,9863681
haryana,2024,2,Jhajjar,662778,18519923
haryana,2024,3,Yamunanagar,500980,18128599
haryana,2024,3,Sonipat,1056983,39330457
haryana,2024,3,Jind,495065,39535532
haryana,2024,3,Rohtak,639086,36347617
haryana,2024,3,Faridabad,2263356,16550260
haryana,2024,3,Mahendragarh,472734,18622010
haryana,2024,3,Hisar,926328,54255144
haryana,2024,3,Karnal,740449,40853590
haryana,2024,3,Fatehabad,381846,26884675
haryana,2024,3,Palwal,643422,97630527
haryana,2024,3,Charkhi Dadri,222105,21505894
haryana,2024,3,Ambala,528044,9678650
haryana,2024,3,Rewari,817240,9024136
haryana,2024,3,Panchkula,383609,12986620
haryana,2024,3,Bhiwani,527698,40345768
haryana,2024,3,Sirsa,545573,66169554
haryana,2024,3,Panipat,885898,34245832
haryana,2024,3,Nuh,657942,26240514
haryana,2024,3,Gurugram,4264705,36728292
haryana,2024,3,Kaithal,394536,32169593
haryana,2024,3,Kurukshetra,452759,11064507
haryana,2024,3,Jhajjar,726930,13292042
haryana,2024,4,Yamunanagar,515478,42357670
haryana,2024,4,Sonipat,1085801,66865088
haryana,2024,4,Jind,508295,36182823
haryana,2024,4,Rohtak,657091,37438510
haryana,2024,4,Faridabad,2323097,120946694
haryana,2024,4,Mahendragarh,486029,26249349
haryana,2024,4,Hisar,952421,52263428
haryana,2024,4,Karnal,763389,52515766
haryana,2024,4,Fatehabad,392496,28589163
haryana,2024,4,Palwal,661233,121029652
haryana,2024,4,Charkhi Dadri,227339,12469182
haryana,2024,4,Ambala,543049,40791816
haryana,2024,4,Rewari,838890,45721289
haryana,2024,4,Panchkula,394751,21502539
haryana,2024,4,Bhiwani,542289,34866304
haryana,2024,4,Sirsa,560997,36949595
haryana,2024,4,Panipat,910441,66908346
haryana,2024,4,Nuh,675794,180391033
haryana,2024,4,Gurugram,4394202,249445780
haryana,2024,4,Kaithal,405639,31185905
haryana,2024,4,Kurukshetra,466201,30737156
haryana,2024,4,Jhajjar,746192,46422053
haryana,2023,1,Yamunanagar,414986,7866007
haryana,2023,1,Sonipat,764865,11625437
haryana,2023,1,Jind,441504,14216848
haryana,2023,1,Rohtak,527046,16091318
haryana,2023,1,Faridabad,2018956,10283031
haryana,2023,1,Mahendragarh,430911,12274162
haryana,2023,1,Hisar,846309,29820179
haryana,2023,1,Karnal,638547,12403580
haryana,2023,1,Fatehabad,344515,13027091
haryana,2023,1,Palwal,540064,8165880
haryana,2023,1,Charkhi Dadri,143804,5726434
haryana,2023,1,Ambala,486481,5334526
haryana,2023,1,Rewari,728428,7651433
haryana,2023,1,Panchkula,352286,5096706
haryana,2023,1,Bhiwani,489622,23288893
haryana,2023,1,Sirsa,499413,21379822
haryana,2023,1,Mewat,462550,8324447
haryana,2023,1,Panipat,679052,8499970
haryana,2023,1,Gurugram,3572322,17085217
haryana,2023,1,Kaithal,350582,9619468
haryana,2023,1,Kurukshetra,410056,5729756
haryana,2023,1,Jhajjar,545862,11436061
haryana,2023,2,Yamunanagar,431359,9226663
haryana,2023,2,Sonipat,796213,16569674
haryana,2023,2,Jind,459846,15467459
haryana,2023,2,Rohtak,547825,19188429
haryana,2023,2,Faridabad,2097648,9572423
haryana,2023,2,Mahendragarh,449565,11430049
haryana,2023,2,Hisar,879031,30687128
haryana,2023,2,Karnal,664313,14232625
haryana,2023,2,Fatehabad,358626,13412333
haryana,2023,2,Palwal,562608,9494060
haryana,2023,2,Charkhi Dadri,150109,7106407
haryana,2023,2,Ambala,505783,5493914
haryana,2023,2,Rewari,757958,7065809
haryana,2023,2,Panchkula,366053,4408774
haryana,2023,2,Bhiwani,511105,25978663
haryana,2023,2,Sirsa,519791,27897298
haryana,2023,2,Mewat,482389,10180771
haryana,2023,2,Panipat,706703,10490036
haryana,2023,2,Gurugram,3707352,18285899
haryana,2023,2,Kaithal,365298,12113129
haryana,2023,2,Kurukshetra,426182,6997431
haryana,2023,2,Jhajjar,568479,12738732
haryana,2023,3,Yamunanagar,448397,11839167
haryana,2023,3,Sonipat,828230,20937019
haryana,2023,3,Jind,478669,19857121
haryana,2023,3,Rohtak,570001,20021226
haryana,2023,3,Faridabad,2177737,8207328
haryana,2023,3,Mahendragarh,468594,10000716
haryana,2023,3,Hisar,913340,30734384
haryana,2023,3,Karnal,690422,18288840
haryana,2023,3,Fatehabad,372881,18107231
haryana,2023,3,Palwal,585232,6584030
haryana,2023,3,Charkhi Dadri,156148,5051754
haryana,2023,3,Ambala,525599,7081228
haryana,2023,3,Rewari,788131,9394062
haryana,2023,3,Panchkula,380441,5174814
haryana,2023,3,Bhiwani,532458,33189655
haryana,2023,3,Sirsa,540767,29131933
haryana,2023,3,Mewat,502900,8623576
haryana,2023,3,Panipat,735266,13164662
haryana,2023,3,Gurugram,3846607,16532850
haryana,2023,3,Kaithal,380114,14849602
haryana,2023,3,Kurukshetra,442674,6605291
haryana,2023,3,Jhajjar,591881,14120585
haryana,2023,4,Yamunanagar,463840,32609820
haryana,2023,4,Sonipat,857752,48506346
haryana,2023,4,Jind,496062,24228704
haryana,2023,4,Rohtak,589438,27146210
haryana,2023,4,Faridabad,2254787,104481992
haryana,2023,4,Mahendragarh,485747,20016298
haryana,2023,4,Hisar,945044,43457675
haryana,2023,4,Karnal,714314,43193744
haryana,2023,4,Fatehabad,386404,20845491
haryana,2023,4,Palwal,606281,34562490
haryana,2023,4,Charkhi Dadri,162018,6448195
haryana,2023,4,Ambala,543571,28345160
haryana,2023,4,Rewari,817197,33026946
haryana,2023,4,Panchkula,393948,20759781
haryana,2023,4,Bhiwani,552607,27762098
haryana,2023,4,Sirsa,559608,27585721
haryana,2023,4,Mewat,521292,40579221
haryana,2023,4,Panipat,761069,47844549
haryana,2023,4,Gurugram,3980597,193784247
haryana,2023,4,Kaithal,393639,20961933
haryana,2023,4,Kurukshetra,457631,24070295
haryana,2023,4,Jhajjar,613796,34265405
haryana,2019,1,Yamunanagar,111935,0
haryana,2019,1,Sonipat,199593,0
haryana,2019,1,Jind,121923,0
haryana,2019,1,Rohtak,147392,0
haryana,2019,1,Faridabad,634024,0
haryana,2019,1,Mahendragarh,109746,0
haryana,2019,1,Hisar,245236,0
haryana,2019,1,Karnal,177042,0
haryana,2019,1,Fatehabad,101001,0
haryana,2019,1,Palwal,141953,0
haryana,2019,1,Charkhi Dadri,35788,0
haryana,2019,1,Ambala,136012,0
haryana,2019,1,Rewari,207051,0
haryana,2019,1,Panchkula,105044,0
haryana,2019,1,Bhiwani,132014,0
haryana,2019,1,Sirsa,146936,0
haryana,2019,1,Mewat,92292,0
haryana,2019,1,Panipat,181548,0
haryana,2019,1,Gurugram,1159832,0
haryana,2019,1,Kaithal,97311,0
haryana,2019,1,Kurukshetra,115295,0
haryana,2019,1,Jhajjar,139799,0
haryana,2019,2,Yamunanagar,128212,541843
haryana,2019,2,Sonipat,230883,1176456
haryana,2019,2,Jind,138962,624097
haryana,2019,2,Rohtak,169372,827978
haryana,2019,2,Faridabad,716593,4975626
haryana,2019,2,Mahendragarh,127605,682663
haryana,2019,2,Hisar,277720,1298714
haryana,2019,2,Karnal,204255,977665
haryana,2019,2,Fatehabad,112543,417161
haryana,2019,2,Palwal,165665,1271969
haryana,2019,2,Charkhi Dadri,42051,203007
haryana,2019,2,Ambala,157049,747656
haryana,2019,2,Rewari,238349,1505304
haryana,2019,2,Panchkula,120567,577037
haryana,2019,2,Bhiwani,151200,716927
haryana,2019,2,Sirsa,163468,625593
haryana,2019,2,Mewat,111194,822428
haryana,2019,2,Panipat,208172,984634
haryana,2019,2,Gurugram,1307319,10860136
haryana,2019,2,Kaithal,110900,506145
haryana,2019,2,Kurukshetra,132749,672331
haryana,2019,2,Jhajjar,163202,913825
haryana,2019,3,Yamunanagar,143922,1889582
haryana,2019,3,Sonipat,261554,4157560
haryana,2019,3,Jind,154136,2080553
haryana,2019,3,Rohtak,190137,2969017
haryana,2019,3,Faridabad,792884,18337601
haryana,2019,3,Mahendragarh,144934,2455148
haryana,2019,3,Hisar,308179,4755964
haryana,2019,3,Karnal,230603,3506469
haryana,2019,3,Fatehabad,124153,1474393
haryana,2019,3,Palwal,188217,4785385
haryana,2019,3,Charkhi Dadri,47499,677064
haryana,2019,3,Ambala,176487,2649300
haryana,2019,3,Rewari,266893,5491022
haryana,2019,3,Panchkula,134405,2132209
haryana,2019,3,Bhiwani,168827,2457872
haryana,2019,3,Sirsa,179271,2162548
haryana,2019,3,Mewat,129646,3067264
haryana,2019,3,Panipat,235346,3503361
haryana,2019,3,Gurugram,1447473,42024810
haryana,2019,3,Kaithal,123358,1747400
haryana,2019,3,Kurukshetra,150733,2685834
haryana,2019,3,Jhajjar,185095,3322231
haryana,2019,4,Yamunanagar,159678,2169534
haryana,2019,4,Sonipat,291479,4952233
haryana,2019,4,Jind,170946,2493137
haryana,2019,4,Rohtak,209750,3382162
haryana,2019,4,Faridabad,862595,19751979
haryana,2019,4,Mahendragarh,162341,3111883
haryana,2019,4,Hisar,339753,5504854
haryana,2019,4,Karnal,255280,4087110
haryana,2019,4,Fatehabad,137065,1761322
haryana,2019,4,Palwal,209434,5450339
haryana,2019,4,Charkhi Dadri,52964,800762
haryana,2019,4,Ambala,194413,3060152
haryana,2019,4,Rewari,294161,6508677
haryana,2019,4,Panchkula,147023,2349281
haryana,2019,4,Bhiwani,187294,2966045
haryana,2019,4,Sirsa,196540,2561179
haryana,2019,4,Mewat,149894,3948045
haryana,2019,4,Panipat,262435,4153408
haryana,2019,4,Gurugram,1574240,48600028
haryana,2019,4,Kaithal,136563,2021458
haryana,2019,4,Kurukshetra,166454,3068604
haryana,2019,4,Jhajjar,206377,4019696
haryana,2021,1,Yamunanagar,261709,4171624
haryana,2021,1,Sonipat,475192,10259395
haryana,2021,1,Jind,273932,4823696
haryana,2021,1,Rohtak,329147,7034036
haryana,2021,1,Faridabad,1272506,37824622
haryana,2021,1,Mahendragarh,265121,7786463
haryana,2021,1,Hisar,526528,11468230
haryana,2021,1,Karnal,402850,7618470
haryana,2021,1,Fatehabad,215301,3757518
haryana,2021,1,Palwal,335048,12710006
haryana,2021,1,Charkhi Dadri,88122,2051877
haryana,2021,1,Ambala,307153,5271257
haryana,2021,1,Rewari,453500,14968730
haryana,2021,1,Panchkula,223482,3991694
haryana,2021,1,Bhiwani,301458,7059970
haryana,2021,1,Sirsa,310911,5229914
haryana,2021,1,Mewat,284058,12278997
haryana,2021,1,Panipat,423131,8104365
haryana,2021,1,Gurugram,2262589,83093025
haryana,2021,1,Kaithal,218191,3635272
haryana,2021,1,Kurukshetra,260673,5020980
haryana,2021,1,Jhajjar,337303,8526542
haryana,2021,2,Yamunanagar,280813,4140694
haryana,2021,2,Sonipat,510058,10153797
haryana,2021,2,Jind,294468,7018936
haryana,2021,2,Rohtak,353305,8816570
haryana,2021,2,Faridabad,1360855,25686092
haryana,2021,2,Mahendragarh,285025,8913568
haryana,2021,2,Hisar,564047,14537419
haryana,2021,2,Karnal,432042,7763201
haryana,2021,2,Fatehabad,231017,5402129
haryana,2021,2,Palwal,359544,11460235
haryana,2021,2,Charkhi Dadri,94774,2819667
haryana,2021,2,Ambala,329225,4503822
haryana,2021,2,Rewari,485784,12365298
haryana,2021,2,Panchkula,239170,3407070
haryana,2021,2,Bhiwani,324156,12104870
haryana,2021,2,Sirsa,334240,8146123
haryana,2021,2,Mewat,305382,10933219
haryana,2021,2,Panipat,454218,7391815
haryana,2021,2,Gurugram,2416391,49280675
haryana,2021,2,Kaithal,234468,5633716
haryana,2021,2,Kurukshetra,279452,4734143
haryana,2021,2,Jhajjar,362160,8839447
haryana,2021,3,Yamunanagar,302286,4998805
haryana,2021,3,Sonipat,549613,12651379
haryana,2021,3,Jind,317982,8521357
haryana,2021,3,Rohtak,380370,11569534
haryana,2021,3,Faridabad,1459758,32146169
haryana,2021,3,Mahendragarh,307779,10733157
haryana,2021,3,Hisar,606513,18684922
haryana,2021,3,Karnal,464990,9193645
haryana,2021,3,Fatehabad,248955,6679659
haryana,2021,3,Palwal,387557,13201677
haryana,2021,3,Charkhi Dadri,102606,3311432
haryana,2021,3,Ambala,354017,5432997
haryana,2021,3,Rewari,522734,15554432
haryana,2021,3,Panchkula,256782,4337099
haryana,2021,3,Bhiwani,350185,14908880
haryana,2021,3,Sirsa,360856,10580592
haryana,2021,3,Mewat,329621,13505368
haryana,2021,3,Panipat,489226,9399532
haryana,2021,3,Gurugram,2589324,68064580
haryana,2021,3,Kaithal,253117,6616730
haryana,2021,3,Kurukshetra,300453,5682024
haryana,2021,3,Jhajjar,390612,11110135
haryana,2021,4,Yamunanagar,323121,7741855
haryana,2021,4,Sonipat,588700,17748673
haryana,2021,4,Jind,340969,9085091
haryana,2021,4,Rohtak,407245,11928009
haryana,2021,4,Faridabad,1559756,57438537
haryana,2021,4,Mahendragarh,330237,14734337
haryana,2021,4,Hisar,648827,20705821
haryana,2021,4,Karnal,497166,13403200
haryana,2021,4,Fatehabad,266637,7084866
haryana,2021,4,Palwal,415495,22420687
haryana,2021,4,Charkhi Dadri,110066,3868580
haryana,2021,4,Ambala,378472,9013011
haryana,2021,4,Rewari,559494,26198366
haryana,2021,4,Panchkula,274389,6464220
haryana,2021,4,Bhiwani,375910,13585473
haryana,2021,4,Sirsa,386829,9891781
haryana,2021,4,Mewat,354072,22238348
haryana,2021,4,Panipat,523678,15114769
haryana,2021,4,Gurugram,2764490,123086843
haryana,2021,4,Kaithal,271182,6547748
haryana,2021,4,Kurukshetra,320754,8758143
haryana,2021,4,Jhajjar,418950,15118629
haryana,2020,1,Yamunanagar,178961,2625978
haryana,2020,1,Sonipat,325111,5887001
haryana,2020,1,Jind,190347,3049401
haryana,2020,1,Rohtak,231317,3889336
haryana,2020,1,Faridabad,935992,22162012
haryana,2020,1,Mahendragarh,181158,3850212
haryana,2020,1,Hisar,382469,6580784
haryana,2020,1,Karnal,283270,4897515
haryana,2020,1,Fatehabad,152969,2162924
haryana,2020,1,Palwal,233542,6895425
haryana,2020,1,Charkhi Dadri,59348,1013262
haryana,2020,1,Ambala,215379,3471937
haryana,2020,1,Rewari,323001,7633507
haryana,2020,1,Panchkula,160534,2591842
haryana,2020,1,Bhiwani,208228,3705008
haryana,2020,1,Sirsa,219623,3131069
haryana,2020,1,Mewat,176392,5813427
haryana,2020,1,Panipat,293916,4951364
haryana,2020,1,Gurugram,1700505,52800456
haryana,2020,1,Kaithal,151832,2465825
haryana,2020,1,Kurukshetra,184817,3491337
haryana,2020,1,Jhajjar,230059,4723846
haryana,2020,2,Yamunanagar,200549,2852631
haryana,2020,2,Sonipat,362890,6034006
haryana,2020,2,Jind,211019,3507406
haryana,2020,2,Rohtak,254647,3888145
haryana,2020,2,Faridabad,1010271,20303296
haryana,2020,2,Mahendragarh,203682,4935866
haryana,2020,2,Hisar,417164,6757973
haryana,2020,2,Karnal,313828,5052334
haryana,2020,2,Fatehabad,168959,2383530
haryana,2020,2,Palwal,259528,8071157
haryana,2020,2,Charkhi Dadri,67004,1335183
haryana,2020,2,Ambala,239160,3519221
haryana,2020,2,Rewari,354024,7867627
haryana,2020,2,Panchkula,175646,2382444
haryana,2020,2,Bhiwani,232402,4442225
haryana,2020,2,Sirsa,242506,3333130
haryana,2020,2,Mewat,205921,6897864
haryana,2020,2,Panipat,324833,4902131
haryana,2020,2,Gurugram,1809777,34179491
haryana,2020,2,Kaithal,168699,2713693
haryana,2020,2,Kurukshetra,203788,3228540
haryana,2020,2,Jhajjar,256581,5062230
haryana,2020,3,Yamunanagar,221375,3252209
haryana,2020,3,Sonipat,402001,7704246
haryana,2020,3,Jind,232549,3961859
haryana,2020,3,Rohtak,280325,5088867
haryana,2020,3,Faridabad,1094570,26881573
haryana,2020,3,Mahendragarh,225580,5818789
haryana,2020,3,Hisar,453910,8467943
haryana,2020,3,Karnal,344289,6013147
haryana,2020,3,Fatehabad,184755,2802419
haryana,2020,3,Palwal,285223,9607743
haryana,2020,3,Charkhi Dadri,74479,1577462
haryana,2020,3,Ambala,262146,4037143
haryana,2020,3,Rewari,388025,10985340
haryana,2020,3,Panchkula,191215,2948241
haryana,2020,3,Bhiwani,255889,5174248
haryana,2020,3,Sirsa,266572,3948058
haryana,2020,3,Mewat,234889,8159589
haryana,2020,3,Panipat,357830,6114120
haryana,2020,3,Gurugram,1949331,52547158
haryana,2020,3,Kaithal,185714,3114941
haryana,2020,3,Kurukshetra,223297,3932294
haryana,2020,3,Jhajjar,284852,6477380
haryana,2020,4,Yamunanagar,242753,3843610
haryana,2020,4,Sonipat,441088,9660561
haryana,2020,4,Jind,254452,4761235
haryana,2020,4,Rohtak,305922,6466541
haryana,2020,4,Faridabad,1182635,32798951
haryana,2020,4,Mahendragarh,245723,7015783
haryana,2020,4,Hisar,490971,10488914
haryana,2020,4,Karnal,374733,7240718
haryana,2020,4,Fatehabad,200390,3430122
haryana,2020,4,Palwal,310698,11415073
haryana,2020,4,Charkhi Dadri,81772,1927582
haryana,2020,4,Ambala,285566,4789038
haryana,2020,4,Rewari,421106,13482897
haryana,2020,4,Panchkula,207622,3577436
haryana,2020,4,Bhiwani,279824,6427240
haryana,2020,4,Sirsa,289231,4751601
haryana,2020,4,Mewat,260584,9795333
haryana,2020,4,Panipat,391952,7475136
haryana,2020,4,Gurugram,2104240,70303122
haryana,2020,4,Kaithal,202911,3708370
haryana,2020,4,Kurukshetra,242556,4668046
haryana,2020,4,Jhajjar,313144,8073998
haryana,2018,1,Yamunanagar,46198,0
haryana,2018,1,Sonipat,79638,0
haryana,2018,1,Jind,51815,0
haryana,2018,1,Rohtak,62452,0
haryana,2018,1,Faridabad,231504,0
haryana,2018,1,Mahendragarh,45460,0
haryana,2018,1,Hisar,113872,0
haryana,2018,1,Karnal,73612,0
haryana,2018,1,Fatehabad,48955,0
haryana,2018,1,Palwal,48774,0
haryana,2018,1,Charkhi Dadri,14712,0
haryana,2018,1,Ambala,54127,0
haryana,2018,1,Rewari,85350,0
haryana,2018,1,Panchkula,41867,0
haryana,2018,1,Bhiwani,57585,0
haryana,2018,1,Sirsa,70800,0
haryana,2018,1,Mewat,29541,0
haryana,2018,1,Panipat,74739,0
haryana,2018,1,Gurugram,474081,0
haryana,2018,1,Kaithal,41222,0
haryana,2018,1,Kurukshetra,47932,0
haryana,2018,1,Jhajjar,53121,0
haryana,2018,2,Yamunanagar,62261,0
haryana,2018,2,Sonipat,106837,0
haryana,2018,2,Jind,68635,0
haryana,2018,2,Rohtak,82822,0
haryana,2018,2,Faridabad,306358,0
haryana,2018,2,Mahendragarh,60336,0
haryana,2018,2,Hisar,147599,0
haryana,2018,2,Karnal,98276,0
haryana,2018,2,Fatehabad,63066,0
haryana,2018,2,Palwal,64886,0
haryana,2018,2,Charkhi Dadri,19559,0
haryana,2018,2,Ambala,73358,0
haryana,2018,2,Rewari,113056,0
haryana,2018,2,Panchkula,56729,0
haryana,2018,2,Bhiwani,75485,0
haryana,2018,2,Sirsa,91908,0
haryana,2018,2,Mewat,41358,0
haryana,2018,2,Panipat,101243,0
haryana,2018,2,Gurugram,621718,0
haryana,2018,2,Kaithal,55832,0
haryana,2018,2,Kurukshetra,64186,0
haryana,2018,2,Jhajjar,71713,0
haryana,2018,3,Yamunanagar,77303,0
haryana,2018,3,Sonipat,132705,0
haryana,2018,3,Jind,84500,0
haryana,2018,3,Rohtak,101649,0
haryana,2018,3,Faridabad,383316,0
haryana,2018,3,Mahendragarh,74545,0
haryana,2018,3,Hisar,176380,0
haryana,2018,3,Karnal,121471,0
haryana,2018,3,Fatehabad,75108,0
haryana,2018,3,Palwal,81688,0
haryana,2018,3,Charkhi Dadri,24373,0
haryana,2018,3,Ambala,92472,0
haryana,2018,3,Rewari,138368,0
haryana,2018,3,Panchkula,71245,0
haryana,2018,3,Bhiwani,92291,0
haryana,2018,3,Sirsa,109165,0
haryana,2018,3,Mewat,53421,0
